               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11536,            0.057925,                   0,            0.035184,             0.31978,            0.038796,            0.010417,            0.088549,            0.031242,                   0,              0.0838,              0.0018,              0.0018
                   1,            0.080953,            0.043701,                   0,             0.27303,             0.34434,             0.19784,            0.064212,            0.074621,            0.029428,                   0,            0.066688,           0.0036878,           0.0036878
                   2,            0.069263,            0.041043,                   0,             0.44001,             0.39002,             0.39104,             0.14101,            0.061347,             0.03356,                   0,            0.049563,            0.005563,            0.005563
                   3,            0.060096,            0.039238,                   0,             0.41441,             0.53235,             0.42602,             0.16149,            0.058896,              0.0323,                   0,            0.032426,           0.0074258,           0.0074258
                   4,            0.056409,            0.032867,                   0,             0.49045,             0.57116,             0.50879,             0.22303,            0.060393,            0.034055,                   0,            0.015276,           0.0092759,           0.0092759
                   5,            0.053266,            0.032813,                   0,             0.59113,             0.57486,             0.61413,             0.19263,            0.053344,            0.031597,                   0,            0.009835,            0.009835,            0.009835
                   6,            0.049973,            0.030895,                   0,             0.57283,             0.69316,             0.68199,             0.38332,            0.043467,            0.020485,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.044891,            0.029389,                   0,             0.62406,             0.67837,             0.71861,             0.38953,            0.045349,            0.023576,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.043733,            0.028908,                   0,             0.74385,             0.75046,             0.80822,             0.42846,            0.040663,            0.018383,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.040249,            0.026861,                   0,             0.78083,             0.80341,             0.84108,             0.47374,            0.039896,            0.017914,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.039564,            0.027411,                   0,             0.81342,             0.75046,             0.85901,             0.47514,            0.038642,            0.016947,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.038897,            0.026014,                   0,             0.84562,             0.77449,             0.88402,             0.55961,            0.035608,            0.017246,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.037267,            0.024254,                   0,             0.82197,             0.83634,             0.88364,             0.50892,            0.031432,            0.016598,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.035034,            0.025508,                   0,             0.86309,             0.80402,             0.91389,             0.58794,            0.029097,            0.016111,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.034459,            0.022865,                   0,             0.89652,             0.83272,             0.92191,             0.59464,            0.029167,            0.016193,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.035519,            0.024311,                   0,             0.82637,             0.84658,             0.88296,              0.5888,            0.028674,            0.016552,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.033832,            0.023483,                   0,             0.84261,             0.84658,             0.90779,             0.62222,            0.028701,            0.015957,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.033813,            0.022482,                   0,             0.86258,             0.81701,             0.89334,             0.61559,            0.027529,            0.017246,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.032678,             0.02367,                   0,             0.87276,              0.8817,             0.92526,             0.62754,              0.0283,            0.015921,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.031257,            0.022331,                   0,             0.88097,             0.85028,             0.92709,             0.64117,            0.029342,            0.015347,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.032412,            0.022609,                   0,              0.9036,             0.82994,             0.91051,             0.66259,             0.02498,            0.016557,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.030449,            0.021579,                   0,              0.8936,             0.82277,             0.91253,             0.65658,            0.026597,            0.015534,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.032589,            0.022301,                   0,             0.89671,              0.8817,              0.9349,              0.6559,            0.025516,             0.01552,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.030709,            0.022363,                   0,             0.88667,             0.89665,              0.9468,             0.69927,            0.025077,            0.014829,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.030777,            0.021122,                   0,             0.87893,             0.87222,             0.93352,             0.63101,            0.028869,            0.015943,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.029776,            0.020625,                   0,             0.90031,             0.86804,             0.94304,             0.66557,            0.028845,            0.014943,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.029444,            0.020416,                   0,             0.89906,             0.88902,             0.93362,             0.66642,             0.02518,            0.014997,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.030014,            0.021783,                   0,             0.85968,             0.91128,             0.94467,             0.67269,            0.024575,            0.014493,                   0,            0.009142,            0.009142,            0.009142
                  28,             0.02929,            0.020362,                   0,             0.88731,             0.91682,             0.95366,             0.70587,             0.02343,            0.014265,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.030454,            0.021207,                   0,             0.91998,             0.87431,             0.94728,             0.72428,            0.023056,            0.014698,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.027318,             0.01899,                   0,             0.90665,             0.89094,             0.94105,             0.67863,            0.024596,             0.01446,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.027021,            0.018476,                   0,             0.89775,             0.87635,             0.93612,             0.70424,             0.02317,            0.014482,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.027517,            0.018501,                   0,             0.89615,             0.87431,             0.94088,             0.70545,            0.023929,            0.014622,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.027701,            0.019128,                   0,              0.9173,             0.86115,             0.93549,              0.7183,             0.02401,             0.01493,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.027002,             0.01998,                   0,             0.90038,             0.86873,             0.94322,             0.70305,            0.025956,            0.014664,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.027951,             0.01991,                   0,             0.90448,              0.8576,             0.94777,             0.72224,            0.022082,            0.014418,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.027849,            0.018772,                   0,             0.89988,             0.88052,             0.94017,             0.71262,            0.023355,            0.015419,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.025894,            0.018005,                   0,             0.90255,             0.88355,             0.93924,              0.7093,             0.02437,            0.014593,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.027896,            0.019445,                   0,              0.9054,             0.83146,             0.92778,              0.6913,            0.023209,            0.014905,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.028231,            0.019655,                   0,             0.90005,             0.88224,             0.93817,             0.71041,            0.023747,            0.015025,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.025477,            0.019472,                   0,              0.8825,             0.90388,             0.93849,             0.72709,            0.022684,             0.01476,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.026065,             0.01912,                   0,             0.89367,              0.9011,              0.9469,             0.74407,            0.021043,            0.014817,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.026078,            0.017085,                   0,             0.91347,             0.87815,             0.94156,             0.68712,            0.024398,            0.016005,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.027629,            0.019495,                   0,             0.88338,              0.8817,              0.9218,             0.69219,            0.021989,            0.015564,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.026543,            0.019449,                   0,             0.89575,              0.8817,             0.93212,             0.72901,            0.021709,            0.015347,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.024129,            0.016956,                   0,             0.88547,             0.91312,               0.945,             0.72415,            0.022058,            0.014212,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.024978,            0.017784,                   0,             0.90582,             0.87985,             0.93821,             0.72225,            0.023879,            0.015354,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.025333,            0.018719,                   0,             0.89337,             0.86723,             0.92397,             0.72958,             0.02178,            0.016154,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.025626,            0.019649,                   0,              0.9055,             0.86784,             0.93851,             0.71787,            0.023693,            0.015895,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.024373,            0.016767,                   0,             0.89196,             0.88513,             0.94156,             0.71385,            0.022245,            0.015906,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.024577,            0.017966,                   0,             0.89227,             0.90328,             0.94817,             0.74463,            0.020739,            0.014632,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.024922,            0.016826,                   0,             0.90672,             0.88355,             0.94173,             0.72347,            0.022265,            0.015366,                   0,             0.00835,             0.00835,             0.00835
                  52,             0.02573,            0.017836,                   0,             0.89489,             0.91275,             0.95168,             0.74052,            0.022371,            0.014811,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.024141,            0.016754,                   0,             0.90594,              0.8817,             0.94667,             0.73792,            0.021775,             0.01431,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.023595,            0.017637,                   0,             0.89366,             0.89094,             0.94343,             0.72047,            0.024755,            0.014812,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.024049,            0.016514,                   0,             0.94228,             0.83919,             0.94145,             0.73734,            0.021261,            0.015506,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.024425,            0.017684,                   0,             0.89925,             0.87437,              0.9333,             0.75437,            0.020873,            0.014922,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.024674,            0.015947,                   0,             0.91654,             0.84473,             0.92681,             0.72393,            0.022086,            0.015609,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.024299,            0.017012,                   0,             0.91191,             0.87246,             0.94091,             0.74944,            0.021366,            0.014035,                   0,            0.008119,            0.008119,            0.008119
                  59,             0.02462,            0.017799,                   0,             0.91301,             0.90203,             0.94794,             0.76578,            0.019996,            0.013613,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.023703,            0.017457,                   0,               0.902,             0.90573,             0.95515,             0.75768,            0.020421,            0.013389,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.023412,             0.01778,                   0,             0.92746,             0.86322,             0.94223,             0.76226,            0.020528,            0.014192,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.022241,            0.016374,                   0,             0.90561,             0.90203,             0.94227,             0.75913,             0.02076,            0.014023,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.023571,            0.016973,                   0,             0.91146,             0.90758,             0.94501,             0.74917,            0.021751,            0.014323,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.022874,             0.01742,                   0,             0.89622,             0.88909,             0.93858,             0.74097,            0.021834,            0.014969,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.022808,            0.016033,                   0,             0.88495,             0.90998,             0.94361,              0.7621,            0.020318,            0.013505,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.022847,            0.016877,                   0,             0.91401,             0.86446,              0.9434,             0.76859,            0.020872,            0.013812,                   0,            0.007855,            0.007855,            0.007855
                  67,             0.02237,            0.015547,                   0,             0.90962,             0.87985,             0.94352,             0.75183,            0.020146,            0.014496,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.022541,            0.015978,                   0,             0.88504,             0.88225,             0.94352,             0.74896,            0.020072,            0.014301,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.022438,            0.016842,                   0,             0.87964,             0.90515,              0.9463,             0.75659,            0.019832,            0.014617,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.021993,            0.016571,                   0,             0.86913,             0.92066,             0.94953,             0.76179,            0.019952,            0.013971,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.022108,            0.016466,                   0,             0.88533,             0.89912,             0.93638,             0.74629,            0.019071,            0.013901,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.021096,            0.014709,                   0,             0.88045,             0.89649,             0.93595,             0.75063,            0.019695,             0.01482,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.021464,            0.015793,                   0,             0.85903,             0.91236,             0.93796,             0.74988,            0.019186,            0.013992,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.022484,            0.016771,                   0,             0.90465,             0.90203,             0.94971,             0.77324,            0.019778,            0.013383,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.021138,            0.016359,                   0,             0.92618,             0.88122,             0.94578,             0.75265,            0.020618,            0.014658,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.021978,            0.017076,                   0,             0.90853,             0.88128,              0.9358,             0.76188,            0.020284,            0.015109,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.022623,            0.016476,                   0,             0.92479,             0.88642,             0.94186,             0.77792,            0.019337,            0.015285,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.021654,            0.016918,                   0,             0.91305,             0.88909,             0.95144,             0.78097,            0.019251,            0.014547,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.021099,            0.015319,                   0,             0.92215,             0.89649,             0.94801,             0.76615,            0.018872,            0.013676,                   0,            0.007426,            0.007426,            0.007426
                  80,             0.02172,            0.016817,                   0,             0.89586,             0.90388,             0.94272,             0.76747,            0.018185,            0.013851,                   0,            0.007393,            0.007393,            0.007393
                  81,             0.02121,            0.016792,                   0,             0.90582,             0.91128,             0.94576,             0.76875,            0.018902,            0.014068,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.022027,            0.016386,                   0,             0.92586,             0.87246,              0.9446,              0.7606,            0.020081,            0.014875,                   0,            0.007327,            0.007327,            0.007327
                  83,              0.0221,            0.016126,                   0,             0.90319,             0.91396,             0.94353,             0.77394,            0.019356,            0.014255,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.021117,            0.016049,                   0,             0.92397,             0.87604,             0.93853,             0.75215,             0.01925,            0.015638,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.020698,            0.014558,                   0,             0.90693,             0.90573,             0.94194,             0.78007,            0.018866,            0.014138,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.021146,            0.015111,                   0,             0.88858,             0.89918,             0.93348,             0.76927,             0.01833,            0.014632,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.021351,            0.016567,                   0,             0.88632,             0.91128,             0.94277,             0.77831,            0.018462,            0.014236,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.020439,            0.016276,                   0,             0.89144,             0.90018,             0.94069,             0.77277,            0.018472,            0.013926,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.020933,            0.017043,                   0,             0.93201,             0.88687,             0.94449,              0.7789,            0.019332,            0.015208,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.019205,            0.014879,                   0,             0.91429,             0.90699,             0.95037,             0.77416,            0.018796,            0.014164,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.020843,             0.01542,                   0,             0.92149,              0.8854,             0.93766,             0.77381,            0.019366,            0.015364,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.020711,            0.015514,                   0,             0.91669,             0.89489,             0.94179,             0.76995,            0.018359,            0.013919,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.020887,            0.016245,                   0,             0.92423,              0.8817,             0.94144,             0.76186,             0.01933,            0.014773,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.020281,            0.014755,                   0,             0.92987,             0.88226,             0.94111,             0.77494,            0.018106,            0.014122,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.019163,            0.014406,                   0,             0.91515,             0.89279,             0.94313,             0.77057,            0.019595,            0.014054,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.020096,            0.015513,                   0,             0.90067,             0.89834,             0.93553,             0.74993,            0.018669,            0.014235,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.020534,            0.015242,                   0,             0.88708,             0.88582,             0.93657,             0.76785,            0.019236,            0.013872,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.020514,            0.014867,                   0,             0.88293,             0.87616,             0.92225,             0.76594,            0.018014,            0.014547,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.019745,            0.014679,                   0,             0.87464,             0.91565,             0.94133,             0.76794,            0.019139,            0.014343,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.019848,            0.014583,                   0,              0.9118,             0.86876,             0.93813,             0.77471,             0.01889,            0.014544,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.019778,            0.014957,                   0,              0.9195,             0.87246,             0.93714,              0.7781,            0.019132,            0.014514,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.020168,            0.016903,                   0,             0.93561,             0.86506,             0.93863,             0.77208,            0.018988,            0.014289,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.019203,            0.014757,                   0,             0.92447,             0.86506,             0.92995,             0.76251,            0.019907,            0.015554,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.019468,            0.015273,                   0,             0.94658,             0.85154,             0.94386,             0.78633,            0.018857,            0.014224,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.017994,            0.014898,                   0,             0.92159,             0.87246,             0.94378,             0.79486,            0.017969,            0.014074,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.018506,             0.01519,                   0,             0.92094,             0.88282,             0.94227,             0.78244,            0.019054,            0.015081,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.020411,            0.016085,                   0,              0.8984,             0.90018,             0.94075,             0.78105,            0.017117,            0.014118,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.018641,            0.014461,                   0,             0.90024,             0.90069,             0.93975,             0.79962,            0.016821,            0.013589,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.018572,            0.014902,                   0,              0.9282,               0.878,             0.94711,             0.79719,            0.016772,            0.013924,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.018325,            0.014163,                   0,             0.90652,             0.89628,             0.94758,             0.79576,            0.017692,            0.013808,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.018641,            0.013608,                   0,              0.9008,             0.90943,             0.95008,             0.80207,            0.017812,            0.013687,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.018453,            0.014209,                   0,             0.91267,             0.89834,             0.94899,             0.78331,            0.018579,            0.014209,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.018733,            0.013904,                   0,             0.93467,             0.88725,             0.95059,             0.80187,            0.017391,            0.014454,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.017892,            0.014714,                   0,             0.90274,             0.91682,             0.94887,             0.79097,            0.018236,            0.013263,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.018582,            0.014253,                   0,             0.93178,             0.88355,             0.95243,             0.80173,             0.01733,            0.014536,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.019335,            0.014249,                   0,             0.95426,             0.85952,             0.94789,             0.78737,            0.018548,            0.014029,                   0,            0.006205,            0.006205,            0.006205
                 117,             0.01823,            0.014131,                   0,             0.92129,             0.87431,             0.94599,             0.79758,            0.017703,            0.013569,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.018747,            0.015151,                   0,             0.89371,             0.89834,             0.94222,             0.78576,            0.018776,            0.014361,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.018262,            0.014286,                   0,              0.9214,             0.86679,             0.94071,             0.78661,            0.018891,            0.014793,                   0,            0.006106,            0.006106,            0.006106
