 epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072855,            0.088377,                   0,           0.0037201,             0.37338,           0.0048349,           0.0011807,            0.073695,            0.060616,                   0,              0.0838,              0.0018,              0.0018
                   1,            0.066686,            0.090381,                   0,           0.0032044,             0.32163,            0.005133,           0.0012441,            0.073601,             0.05559,                   0,            0.066688,           0.0036878,           0.0036878
                   2,            0.061644,            0.094375,                   0,           0.0030571,             0.30684,            0.011133,            0.002193,            0.074232,            0.051474,                   0,            0.049563,            0.005563,            0.005563
                   3,            0.055496,            0.095895,                   0,           0.0042173,             0.42329,            0.016806,           0.0040051,            0.065322,            0.055945,                   0,            0.032426,           0.0074258,           0.0074258
                   4,            0.050787,            0.096012,                   0,            0.044867,             0.13494,            0.019708,           0.0045669,            0.064362,             0.05861,                   0,            0.015276,           0.0092759,           0.0092759
                   5,            0.050639,            0.091379,                   0,            0.088557,             0.33272,            0.066537,            0.017531,            0.054235,            0.077714,                   0,            0.009835,            0.009835,            0.009835
                   6,            0.047449,             0.08682,                   0,             0.12041,              0.1756,            0.064888,            0.015245,            0.061026,            0.060021,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.044685,            0.085334,                   0,             0.21326,             0.20702,             0.12566,            0.035137,            0.054306,            0.055364,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.044055,            0.086456,                   0,             0.24829,             0.27911,             0.20803,            0.051581,            0.051159,            0.054071,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.042402,            0.085235,                   0,             0.31129,             0.36784,             0.26726,            0.078084,            0.040768,            0.059774,                   0,            0.009736,            0.009736,            0.009736
                  10,             0.04093,            0.078309,                   0,             0.36781,             0.35811,             0.31368,             0.12178,            0.038163,            0.070383,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.038523,            0.075373,                   0,             0.48501,              0.5268,             0.45604,              0.1598,            0.035653,            0.053447,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.038037,            0.078596,                   0,             0.57441,             0.51201,             0.53425,             0.21313,            0.035176,            0.060862,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.036613,            0.073215,                   0,             0.57092,             0.50173,             0.51543,               0.199,            0.038089,            0.054614,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.034895,            0.076517,                   0,             0.52195,             0.50277,             0.48335,             0.17135,            0.035641,            0.052732,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.034927,             0.07109,                   0,             0.80397,             0.68987,              0.7819,             0.36859,            0.030939,             0.04686,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.035479,            0.068298,                   0,             0.79671,             0.67369,             0.76693,             0.28717,            0.035701,            0.043519,                   0,            0.009505,            0.009505,            0.009505
                  17,             0.03248,            0.071034,                   0,             0.69954,             0.68207,             0.71163,             0.34567,            0.031503,             0.04128,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.033348,            0.063685,                   0,             0.76364,             0.68577,             0.77572,             0.30771,            0.031659,            0.046245,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.031636,            0.068913,                   0,             0.77895,             0.68762,             0.78524,             0.39249,             0.02855,            0.042182,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.030085,            0.068022,                   0,             0.78211,             0.70329,             0.79726,             0.42427,            0.029388,            0.040665,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.030475,            0.061989,                   0,             0.85017,              0.7098,             0.82781,              0.3307,             0.02937,            0.039227,                   0,             0.00934,             0.00934,             0.00934
