     epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08977,            0.077934,                   0,           0.0040147,             0.40296,           0.0043238,           0.0010739,            0.089281,             0.04475,                   0,              0.0838,              0.0018,              0.0018
                   1,            0.070376,            0.082814,                   0,           0.0047269,             0.46396,            0.004565,           0.0012966,            0.082659,            0.045486,                   0,            0.066688,           0.0036878,           0.0036878
                   2,             0.06041,            0.087243,                   0,           0.0045492,             0.44547,            0.012797,           0.0031427,            0.081134,            0.047212,                   0,            0.049563,            0.005563,            0.005563
                   3,            0.056008,            0.082193,                   0,             0.17102,             0.14787,            0.075434,            0.019107,            0.060246,            0.052514,                   0,            0.032426,           0.0074258,           0.0074258
                   4,            0.055223,            0.077969,                   0,            0.071135,             0.21304,            0.064207,            0.016199,            0.059652,            0.055266,                   0,            0.015276,           0.0092759,           0.0092759
                   5,            0.054226,            0.076979,                   0,             0.18986,             0.20148,             0.10917,            0.026148,            0.063102,            0.049777,                   0,            0.009835,            0.009835,            0.009835
                   6,            0.051374,            0.075214,                   0,             0.23202,             0.25878,             0.15966,            0.044484,            0.051569,            0.051917,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.047083,            0.078279,                   0,               0.291,             0.29575,             0.19136,            0.057823,            0.046785,            0.059086,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.044099,            0.081559,                   0,              0.2827,             0.36044,             0.24166,            0.078982,            0.043255,            0.057809,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.041151,            0.082376,                   0,             0.36788,             0.41035,             0.33416,             0.12037,            0.036279,            0.055757,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.038511,            0.076408,                   0,             0.45456,             0.44547,             0.45052,             0.18897,            0.037347,            0.071493,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.037479,            0.073007,                   0,             0.59463,             0.57212,             0.61311,              0.2403,            0.037798,             0.04924,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.037694,            0.075621,                   0,             0.62961,             0.53235,             0.59229,             0.20083,            0.037727,            0.049103,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.034547,            0.071718,                   0,             0.55977,             0.51708,               0.535,              0.1602,            0.035564,            0.054639,                   0,            0.009604,            0.009604,            0.009604
                  14,             0.03458,            0.072704,                   0,             0.71088,              0.5915,              0.6818,             0.28524,            0.032333,            0.053871,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.032714,            0.069473,                   0,             0.76609,              0.6841,             0.77193,             0.35541,            0.029278,            0.050368,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.031564,            0.068131,                   0,             0.75522,             0.66725,             0.73485,             0.28885,            0.031645,            0.044863,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.029793,             0.07093,                   0,             0.75898,             0.75786,             0.80268,             0.37766,            0.027575,            0.044654,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.031932,            0.062343,                   0,             0.83181,             0.78558,             0.85932,              0.3815,            0.030318,            0.039355,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.030183,            0.067225,                   0,              0.8783,             0.75046,              0.8553,             0.41207,            0.029007,            0.038402,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.029375,            0.066574,                   0,             0.83821,             0.77571,             0.85256,             0.47206,            0.024131,            0.038094,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.028955,            0.059649,                   0,             0.86988,             0.72828,              0.8388,             0.37702,            0.029629,            0.040613,                   0,             0.00934,             0.00934,             0.00934
                  22,             0.02734,              0.0657,                   0,             0.89735,             0.77819,              0.8815,             0.55858,            0.023772,            0.037412,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.027998,            0.063462,                   0,              0.8668,             0.80407,             0.88186,             0.51611,            0.023335,            0.036026,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.028775,            0.059829,                   0,             0.81284,             0.81701,             0.86788,             0.51486,            0.023158,            0.038777,                   0,            0.009241,            0.009241,            0.009241
                  25,             0.02688,            0.060777,                   0,             0.82395,             0.80591,             0.85711,             0.49872,            0.023356,            0.038756,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.026762,            0.062913,                   0,             0.89102,             0.79852,              0.8942,             0.55778,            0.022007,            0.035844,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.027415,            0.058157,                   0,             0.84143,             0.83179,              0.9046,             0.56542,            0.021637,            0.033902,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.026352,            0.056669,                   0,             0.87298,             0.84473,             0.90867,             0.61433,            0.018869,            0.035725,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.024509,            0.059212,                   0,             0.89241,             0.79727,             0.90319,             0.55121,            0.021267,             0.03354,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.026021,            0.057599,                   0,             0.83347,              0.8141,             0.87805,             0.57647,            0.019961,            0.034856,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.024366,            0.059498,                   0,             0.87605,             0.83614,             0.90986,             0.59614,            0.020192,            0.033725,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.024347,            0.058975,                   0,             0.89258,              0.8294,             0.90747,             0.53448,            0.022821,            0.035005,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.024585,            0.057126,                   0,             0.92375,             0.80617,             0.90585,             0.48013,            0.025061,            0.033934,                   0,            0.008944,            0.008944,            0.008944
                  34,             0.02398,            0.057198,                   0,              0.8706,             0.83324,             0.88693,             0.57356,             0.02005,            0.034047,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.023389,            0.056399,                   0,             0.85211,             0.84136,             0.90509,             0.56267,            0.022454,            0.035773,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.024107,            0.055698,                   0,             0.87834,             0.83549,             0.91163,             0.59243,            0.018863,            0.036239,                   0,            0.008845,            0.008845,            0.008845
